Player,Serve Rating,%1stServe,%1stServePointsWon,%2ndServePointsWon,%ServiceGamesWon,AvgACESMatch,AvgDoubleFaultsMatch,Return Rating,%1st Serve Return Points Won,%2nd Serve Return Points Won,%Return Games Won,%Breaks Points Converted,Underpressure Rating,%BreakPointsConverted,%BreaksPointsSaved,%TieBreaks Won,%Deciding Sets Won,%AvgWinLoss,Age,Rank
John Isner,308.5,67.7,79.8,52.7,90.2,21.1,3.0,93.8,20.9,40.0,7.1,25.8,219.1,25.8,69.3,71.1,52.9,0.444,37.0,46.0
Hubert Hurkacz,299.7,63.4,79.2,54.9,89.9,14.0,1.7,125.3,27.2,46.6,16.5,35.0,226.4,35.0,67.7,54.7,69.0,0.684,26.0,9.0
Matteo Berrettini,292.2,62.5,79.6,52.0,88.5,11.5,1.9,129.8,29.5,45.7,18.8,35.8,210.0,35.8,67.1,50.0,57.1,0.5,26.0,23.0
Novak Djokovic,292.1,65.3,77.2,57.0,88.7,6.0,2.1,160.5,33.5,55.9,29.3,41.8,249.7,41.8,64.3,80.0,63.6,0.938,35.0,2.0
Ben Shelton,292.0,60.7,79.3,55.9,89.4,11.3,4.6,118.5,23.8,42.1,13.3,39.3,209.0,39.3,70.5,56.3,42.9,0.545,20.0,39.0
Stefanos Tsitsipas,287.9,63.8,76.5,55.1,86.8,7.8,2.1,141.7,28.3,50.2,21.4,41.8,237.7,41.8,66.0,56.8,73.1,0.813,24.0,3.0
Maxime Cressy,287.8,60.1,79.8,53.1,88.6,15.2,9.0,115.4,23.0,40.9,12.2,39.3,186.9,39.3,64.3,35.7,47.6,0.5,25.0,37.0
Felix Auger-Aliassime,285.9,64.1,77.5,50.6,86.5,10.5,3.3,136.6,30.7,47.6,20.8,37.5,223.2,37.5,66.6,52.4,66.7,0.647,22.0,6.0
Taylor Fritz,284.4,61.5,77.1,53.0,85.5,9.2,1.9,142.2,27.9,52.2,21.9,40.2,215.0,40.2,63.0,58.5,53.3,0.773,25.0,10.0
Casper Ruud,283.0,65.2,74.0,55.2,84.6,6.0,2.0,138.7,28.7,50.0,22.1,37.9,219.0,37.9,62.2,61.0,57.9,0.444,24.0,4.0
Marc-Andrea Huesler,282.9,62.0,76.0,53.0,85.0,8.8,1.9,123.9,23.3,44.9,12.8,42.9,205.1,42.9,60.4,55.6,46.2,0.462,26.0,47.0
Daniil Medvedev,281.5,64.3,75.4,51.4,86.0,7.7,3.3,164.6,32.8,55.2,30.6,46.0,220.5,46.0,68.5,56.0,50.0,0.889,27.0,5.0
Borna Coric,279.3,62.4,74.3,54.5,83.3,6.4,1.6,122.4,25.8,48.9,15.6,32.1,212.1,32.1,59.5,66.7,53.8,0.583,26.0,20.0
Lorenzo Sonego,279.1,67.7,73.5,51.0,82.9,5.7,1.7,132.8,27.4,45.5,17.2,42.7,158.9,42.7,59.5,50.0,6.7,0.385,27.0,59.0
Holger Rune,278.8,64.3,72.6,55.1,85.1,5.1,3.4,144.3,29.6,50.7,23.1,40.9,215.9,40.9,65.9,63.6,45.5,0.667,19.0,8.0
Carlos Alcaraz,278.8,66.3,71.9,55.3,84.4,3.1,2.2,160.6,34.4,53.5,31.4,41.3,235.8,41.3,64.7,55.9,73.9,0.933,19.0,1.0
Alexander Zverev,277.8,70.1,73.8,47.6,82.0,7.7,3.4,141.8,30.6,50.0,22.6,38.6,237.0,38.6,58.3,78.6,61.5,0.5,25.0,15.0
Tallon Griekspoor,277.7,64.0,73.9,51.8,83.2,7.8,3.0,121.5,25.6,46.9,14.8,34.2,190.8,34.2,61.4,57.7,37.5,0.722,26.0,36.0
Andrey Rublev,277.5,61.5,76.1,50.4,83.9,7.8,2.2,139.3,29.9,49.3,21.2,38.9,227.8,38.9,62.2,61.5,65.2,0.611,25.0,7.0
Grigor Dimitrov,276.9,62.7,76.2,51.3,82.6,6.7,2.6,142.7,29.2,50.4,23.2,39.9,194.0,39.9,61.2,42.9,50.0,0.583,31.0,27.0
